了
的
說
我
道
他
你
也
是
又
來
去
著
便
不
有
在
聽
笑
都
人
就
寶玉
見
叫
呢
好
賈母
等
話
要
上
那
什麼
只
一個
和
我們
鳳姐
到
那里
沒
吃
王夫人
才
倒
這
個
們
如今
兒
得
知道
把
看
老太太
與
忙
姑娘
再
他們
這里
誰
奶奶
走
自己
一面
太太
起來
事
怎麼
出來
不是
拿
為
寶釵
只見
打
賈璉
兩個
不知
請
襲人
卻
若
這個
這樣
一
進來
想
眾人
你們
平兒
就是
咱們
因
且
下
大
告訴
姐姐
大家
只是
坐
回來
只得
里
出去
從
不敢
老爺
這些
回
小
送
黛玉
月
并
之
所以
已
東西
寶玉道
不好
死
探春
不過
薛姨媽
不能
至
家
時
可
帶
如此
賈政
心里
鴛鴦
跟
這麼
瞧
向
錢
一時
中
李
二
紈
今日
過來
二人
賈珍
一回
哭
皆
只管
多
做
晴雯
睡
么
雖
更
找
說道
鳳姐兒
既
不得
住
那邊
些
湘云
完
姥姥
該
起
還有
這是
這話
自然
茶
丫頭
亦
內
不用
無
二爺
几個
讓
那些
今兒
答應
如何
邢夫人
字
出
勸
林黛玉
人家
妹妹
比
屋里
別
鬧
竟
問道
飯
兩
被
原來
香菱
寶玉笑
或
往
姊妹
罷
有人
寶
紫鵑
一句
豈
歎
家里
快
后
罷了
到底
這會子
回去
麝
先
不成
沒有
跑
心中
丫鬟
替
方才
知
婆子
進去
畢
寫
哥哥
而
身上
怕
罵
姨娘
尤氏
外頭
還是
只有
使
一件
明白
起身
但
一日
于是
站
去罷
很
聽見
果然
用
媳婦
不必
怎麼樣
跟前
有些
明兒
遂
瞧瞧
主意
房中
一聲
臉
心
那個
弄
劉
病
連忙
銀子
不如
長
只怕
趙
作
不肯
好些
在外
對
看見
吩咐
不要
正
薛蟠
況且
想起
便是
年
賈赦
難道
賈蓉
因此
兄弟
仍
急
